Petition,URL,State,Signatures Count
Make the BBC library(pre subscription)free for the UK population who paid for it,https://petition.parliament.uk/petitions/300541,rejected,15
Stop downgrading motorways. Its not smart its dangerous. Keep the Hard Shoulder.,https://petition.parliament.uk/petitions/300543,rejected,8
Make it possible to report dangerous driving videos from social media,https://petition.parliament.uk/petitions/300546,rejected,12
Keep the BBC License Fee and save the BBC.,https://petition.parliament.uk/petitions/300549,closed,168
Stop flights into the uk during coronavirus outbreak like other countries are.,https://petition.parliament.uk/petitions/300553,rejected,6
Do more to prevent the spread of Coronavirus (COVID-19) in the UK,https://petition.parliament.uk/petitions/300555,rejected,10
Halt flights into the UK to contain/delay the spread of Novel Coronavirus.,https://petition.parliament.uk/petitions/300556,rejected,14
Corrections and clarifications in UK media to be as prominent as original story,https://petition.parliament.uk/petitions/300557,closed,1107
Make university fees free,https://petition.parliament.uk/petitions/300560,closed,350
Replace Breed Specific Legislation with a new statutory framework,https://petition.parliament.uk/petitions/300561,closed,118640
MPs to be held legally accountable for claims that affect referendums/elections.,https://petition.parliament.uk/petitions/300565,rejected,8
Call the government to reduce UK University tuition fees from £9250 to £3000,https://petition.parliament.uk/petitions/300566,closed,414
Safeguard adult entertainers from discrimination under the Equality Act 2010,https://petition.parliament.uk/petitions/300567,rejected,13
Urge India and UN to send UN Peacekeepers to Kashmir and carry out a plebiscite,https://petition.parliament.uk/petitions/300570,closed,1515
Introduce Minimum Wage For 16 And 17 Year Olds!,https://petition.parliament.uk/petitions/300574,rejected,6
Require phones to receive security updates for 5 years,https://petition.parliament.uk/petitions/300575,closed,54
Abolish the tv license not fit for purpose,https://petition.parliament.uk/petitions/300576,rejected,8
